Transaction_ID,Date,Ticker,Company_Name,Sector,Action,Quantity,Price_Per_Share,Total_Value,Dividend_Yield_Pct
TXN-2024,2023-01-01,MSFT,Microsoft Corp.,Technology,Buy,25,363.72,9093.0,0.5
TXN-2167,2023-01-03,JNJ,Johnson & Johnson,Healthcare,Buy,15,182.12,2731.8,1.5
TXN-2005,2023-01-04,JPM,JPMorgan Chase,Financials,Buy,5,219.61,1098.05,2.5
TXN-2022,2023-01-06,GOOGL,Alphabet Inc.,Technology,Buy,5,130.05,650.25,0.5
TXN-2080,2023-01-06,V,Visa Inc.,Financials,Buy,25,236.56,5914.0,2.5
TXN-2180,2023-01-06,PG,Procter & Gamble,Consumer Staples,Buy,20,160.23,3204.6,2.8
TXN-2131,2023-01-12,KO,Coca-Cola Co.,Consumer Staples,Buy,15,69.57,1043.55,2.8
TXN-2113,2023-01-14,TSLA,Tesla Inc.,Consumer Discretionary,Sell,100,276.09,27609.0,0.3
TXN-2175,2023-01-17,GOOGL,Alphabet Inc.,Technology,Buy,20,127.77,2555.4,0.5
TXN-2139,2023-01-19,GOOGL,Alphabet Inc.,Technology,Sell,25,123.41,3085.25,0.5
TXN-2064,2023-01-22,JNJ,Johnson & Johnson,Healthcare,Sell,10,150.6,1506.0,1.5
TXN-2134,2023-01-25,UNH,UnitedHealth Group,Healthcare,Buy,100,456.39,45639.0,1.5
TXN-2000,2023-01-27,TSLA,Tesla Inc.,Consumer Discretionary,Buy,20,228.4,4568.0,0.3
TXN-2019,2023-01-31,KO,Coca-Cola Co.,Consumer Staples,Buy,20,71.14,1422.8,2.8
TXN-2096,2023-01-31,AAPL,Apple Inc.,Technology,Buy,20,185.8,3716.0,0.5
TXN-2101,2023-02-01,AAPL,Apple Inc.,Technology,Buy,5,197.86,989.3,0.5
TXN-2183,2023-02-07,JPM,JPMorgan Chase,Financials,Buy,20,172.45,3449.0,2.5
TXN-2198,2023-02-10,KO,Coca-Cola Co.,Consumer Staples,Buy,20,71.5,1430.0,2.8
TXN-2092,2023-02-12,CVX,Chevron Corp.,Energy,Buy,20,140.47,2809.4,3.5
TXN-2126,2023-02-12,GOOGL,Alphabet Inc.,Technology,Buy,20,126.33,2526.6,0.5
TXN-2185,2023-02-12,NEE,NextEra Energy,Utilities,Buy,100,75.45,7545.0,3.0
TXN-2143,2023-02-14,AAPL,Apple Inc.,Technology,Buy,50,191.45,9572.5,0.5
TXN-2017,2023-02-15,NEE,NextEra Energy,Utilities,Buy,5,80.89,404.45,3.0
TXN-2025,2023-02-15,MSFT,Microsoft Corp.,Technology,Buy,5,413.99,2069.95,0.5
TXN-2147,2023-02-16,NEE,NextEra Energy,Utilities,Sell,25,74.55,1863.75,3.0
TXN-2006,2023-02-17,KO,Coca-Cola Co.,Consumer Staples,Buy,100,70.07,7007.0,2.8
TXN-2154,2023-02-19,JNJ,Johnson & Johnson,Healthcare,Sell,100,155.15,15515.0,1.5
TXN-2115,2023-02-21,GOOGL,Alphabet Inc.,Technology,Sell,25,123.52,3088.0,0.5
TXN-2122,2023-02-21,VZ,Verizon,Communication Services,Sell,100,40.74,4074.0,5.0
TXN-2190,2023-03-03,AAPL,Apple Inc.,Technology,Buy,25,166.09,4152.25,0.5
TXN-2116,2023-03-04,VZ,Verizon,Communication Services,Sell,15,36.55,548.25,5.0
TXN-2128,2023-03-04,CVX,Chevron Corp.,Energy,Buy,15,158.59,2378.85,3.5
TXN-2088,2023-03-06,MSFT,Microsoft Corp.,Technology,Buy,100,363.47,36347.0,0.5
TXN-2093,2023-03-06,VZ,Verizon,Communication Services,Buy,100,46.74,4674.0,5.0
TXN-2097,2023-03-10,KO,Coca-Cola Co.,Consumer Staples,Buy,20,70.99,1419.8,2.8
TXN-2046,2023-03-11,CVX,Chevron Corp.,Energy,Sell,20,166.15,3323.0,3.5
TXN-2144,2023-03-11,CVX,Chevron Corp.,Energy,Sell,25,146.17,3654.25,3.5
TXN-2148,2023-03-15,UNH,UnitedHealth Group,Healthcare,Sell,50,541.16,27058.0,1.5
TXN-2163,2023-03-15,JPM,JPMorgan Chase,Financials,Sell,10,175.07,1750.7,2.5
TXN-2095,2023-03-16,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,10,187.4,1874.0,0.3
TXN-2192,2023-03-19,JPM,JPMorgan Chase,Financials,Buy,15,179.73,2695.95,2.5
TXN-2021,2023-03-20,UNH,UnitedHealth Group,Healthcare,Buy,100,519.2,51920.0,1.5
TXN-2029,2023-03-25,VZ,Verizon,Communication Services,Sell,5,44.9,224.5,5.0
TXN-2094,2023-03-25,CVX,Chevron Corp.,Energy,Sell,15,133.6,2004.0,3.5
TXN-2155,2023-04-01,VZ,Verizon,Communication Services,Buy,50,43.64,2182.0,5.0
TXN-2165,2023-04-02,CVX,Chevron Corp.,Energy,Buy,10,155.8,1558.0,3.5
TXN-2054,2023-04-03,V,Visa Inc.,Financials,Sell,5,303.63,1518.15,2.5
TXN-2146,2023-04-05,UNH,UnitedHealth Group,Healthcare,Buy,50,592.52,29626.0,1.5
TXN-2111,2023-04-09,AMZN,Amazon.com Inc.,Consumer Discretionary,Sell,20,193.66,3873.2,0.3
TXN-2078,2023-04-10,VZ,Verizon,Communication Services,Buy,10,48.12,481.2,5.0
TXN-2043,2023-04-11,UNH,UnitedHealth Group,Healthcare,Buy,5,477.1,2385.5,1.5
TXN-2132,2023-04-13,V,Visa Inc.,Financials,Buy,5,269.02,1345.1,2.5
TXN-2194,2023-04-17,JPM,JPMorgan Chase,Financials,Buy,20,199.21,3984.2,2.5
TXN-2090,2023-04-20,V,Visa Inc.,Financials,Sell,5,276.1,1380.5,2.5
TXN-2073,2023-04-25,TSLA,Tesla Inc.,Consumer Discretionary,Buy,5,241.38,1206.9,0.3
TXN-2018,2023-04-28,V,Visa Inc.,Financials,Buy,50,302.18,15109.0,2.5
TXN-2156,2023-04-29,PG,Procter & Gamble,Consumer Staples,Buy,10,165.52,1655.2,2.8
TXN-2079,2023-05-06,VZ,Verizon,Communication Services,Buy,20,47.55,951.0,5.0
TXN-2061,2023-05-08,XOM,Exxon Mobil,Energy,Buy,25,118.67,2966.75,3.5
TXN-2117,2023-05-11,JPM,JPMorgan Chase,Financials,Buy,20,171.88,3437.6,2.5
TXN-2184,2023-05-12,MSFT,Microsoft Corp.,Technology,Buy,15,343.17,5147.55,0.5
TXN-2118,2023-05-14,UNH,UnitedHealth Group,Healthcare,Sell,100,465.32,46532.0,1.5
TXN-2042,2023-05-16,V,Visa Inc.,Financials,Buy,25,240.73,6018.25,2.5
TXN-2057,2023-05-16,UNH,UnitedHealth Group,Healthcare,Sell,15,455.16,6827.4,1.5
TXN-2071,2023-05-18,UNH,UnitedHealth Group,Healthcare,Buy,50,592.57,29628.5,1.5
TXN-2041,2023-05-20,VZ,Verizon,Communication Services,Buy,10,47.04,470.4,5.0
TXN-2062,2023-05-21,JPM,JPMorgan Chase,Financials,Sell,10,173.67,1736.7,2.5
TXN-2069,2023-05-26,GOOGL,Alphabet Inc.,Technology,Sell,15,137.14,2057.1,0.5
TXN-2112,2023-05-26,KO,Coca-Cola Co.,Consumer Staples,Sell,25,56.14,1403.5,2.8
TXN-2087,2023-05-27,GOOGL,Alphabet Inc.,Technology,Buy,50,157.67,7883.5,0.5
TXN-2067,2023-05-28,XOM,Exxon Mobil,Energy,Buy,5,100.11,500.55,3.5
TXN-2102,2023-05-28,AMZN,Amazon.com Inc.,Consumer Discretionary,Buy,100,151.98,15198.0,0.3
TXN-2007,2023-05-30,VZ,Verizon,Communication Services,Buy,20,39.18,783.6,5.0
